,id_str,score_keyword,score_textblob_bayes_sentiment,score_textblob_pattern_sentiment,text,score
94,921829947093733376,0.5,0.6,0.9645738516558304,"Keep hearing about ""tiny"" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN, ABC, NBC &amp; CBS?",0.6881912838852768
16,925005659569041409,0.5,0.625,0.9193020231974752,"Sorry, but this is years ago, before Paul Manafort was part of the Trump campaign. But why aren't Crooked Hillary &amp; the Dems the focus?????",0.6814340077324917
239,931877599034388480,0.5,0.55,0.9504065357322717,"Crooked Hillary Clinton is the worst (and biggest) loser of all time. She just can’t stop, which is so good for the… https://t.co/dsLJX3x1M3",0.666802178577424
155,926481563214376961,0.5,0.5125,0.9326627019196023,"The rigged Dem Primary, one of the biggest political stories in years, got ZERO coverage on Fake News Network TV last night. Disgraceful!",0.6483875673065341
158,926456069047582721,1.0,0.4017857142857143,0.46140137772475975,Bernie Sanders supporters have every right to be apoplectic of the complete theft of the Dem primary by Crooked Hillary!,0.6210623640034915
165,926403023861141504,0.5,0.5,0.8219712593073776,Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary &amp; the Dems..,0.6073237531024592
127,927851452185407490,0.0,1.0,0.775925420816223,....and has been horrible on Virginia economy. Vote @EdWGillespie today!,0.5919751402720743
138,927644826006425601,0.0,0.75,0.8982820729863301,"The state of Virginia economy, under Democrat rule, has been terrible. If you vote Ed Gillespie tomorrow, it will come roaring back!",0.54942735766211
78,922828476872318976,0.0,0.6458333333333334,0.9891846925402326,"Sen. Corker is the incompetent head of the Foreign Relations Committee, &amp; look how poorly the U.S. has done. He doesn't have a clue as.....",0.545006008624522
21,924639422066384896,0.0,0.95,0.6593520629575507,"...""collusion,"" which doesn't exist. The Dems are using this terrible (and bad for our country) Witch Hunt for evil politics, but the R's...",0.5364506876525169
10,925364408364171265,0.0,0.71875,0.8453713706693619,"....earth shattering. He and his brother could Drain The Swamp, which would be yet another campaign promise fulfilled. Fake News weak!",0.5213737902231207
81,922798321739161600,0.0,0.8499999999999999,0.6991564433572646,"Bob Corker, who helped President O give us the bad Iran Deal &amp; couldn't get elected dog catcher in Tennessee, is now fighting Tax Cuts....",0.5163854811190881
26,924400308834455552,0.0,0.6520833333333333,0.8857308506051361,While not at all presidential I must point out that the Sloppy Michael Moore Show on Broadway was a TOTAL BOMB and was forced to close. Sad!,0.5126047279794897
86,922072236592435200,0.0,0.6046875,0.9173891208429066,"It is finally sinking through. 46% OF PEOPLE BELIEVE MAJOR NATIONAL NEWS ORGS FABRICATE STORIES ABOUT ME. FAKE NEWS, even worse! Lost cred.",0.5073588736143022
109,928769154345324544,0.0,0.625,0.8928259673503582,"I don’t blame China, I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on tr… https://t.co/zql9WFEZlF",0.5059419891167861
261,930748627642998784,0.0,0.75,0.7635804581397072,"While in the Philippines I was forced to watch @CNN, which I have not done in months, and again realized how bad, and FAKE, it is. Loser!",0.5045268193799024
177,926139726129704960,0.0,0.5,0.9920160257207654,"Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi",0.49733867524025516
