,id_str,score_keyword,score_textblob_bayes_sentiment,score_textblob_pattern_sentiment,text,score,anger,negative
4,926456069047582721,1.0,0.4017857142857143,0.4614013777247598,Bernie Sanders supporters have every right to be apoplectic of the complete theft of the Dem primary by Crooked Hillary!,0.5433354148059785,0.23809523809523808,0.15873015873015872
9,924639422066384896,0.0,0.95,0.6593520629575507,"...""collusion,"" which doesn't exist. The Dems are using this terrible (and bad for our country) Witch Hunt for evil politics, but the R's...",0.5112808993818141,0.9375,0.5208333333333334
6,927851452185407490,0.0,1.0,0.7759254208162231,....and has been horrible on Virginia economy. Vote @EdWGillespie today!,0.5096627838112509,0.7692307692307693,0.5128205128205129
0,921829947093733376,0.5,0.6,0.9645738516558304,"Keep hearing about ""tiny"" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN, ABC, NBC &amp; CBS?",0.5055539752759718,0.15625,0.3125
3,926481563214376961,0.5,0.5125,0.9326627019196024,"The rigged Dem Primary, one of the biggest political stories in years, got ZERO coverage on Fake News Network TV last night. Disgraceful!",0.4795435778919502,0.18518518518518517,0.24691358024691357
134,934080974773776384,0.0,0.65,0.0763824097840358,Horrible and cowardly terrorist attack on innocent and defenseless worshipers in Egypt. The world cannot tolerate t… https://t.co/73hMjYKjMI,0.4543970682973393,1.0,1.0
39,930981685658902528,0.5,0.5,0.2522763889813474,Why are Democrats fighting massive tax cuts for the middle class and business (jobs)? The reason: Obstruction and Delay!,0.4540831018672616,0.41666666666666663,0.5555555555555556
1,925005659569041409,0.5,0.625,0.9193020231974752,"Sorry, but this is years ago, before Paul Manafort was part of the Trump campaign. But why aren't Crooked Hillary &amp; the Dems the focus?????",0.4240503371995792,0.0,0.0
2,931877599034388480,0.5,0.55,0.9504065357322716,"Crooked Hillary Clinton is the worst (and biggest) loser of all time. She just can’t stop, which is so good for the… https://t.co/dsLJX3x1M3",0.4167344226220453,0.0,0.0
5,926403023861141504,0.5,0.5,0.8219712593073776,Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary &amp; the Dems..,0.4075713415718057,0.0,0.12345679012345678
20,926417546038923264,1.0,0.25,0.17205250641176034,"Pocahontas just stated that the Democrats, lead by the legendary Crooked Hillary Clinton, rigged the Primaries! Lets go FBI &amp; Justice Dept.",0.4036754177352934,0.0,0.0
38,926415703476928512,0.5,0.4863636363636364,0.2702273926244084,The real story on Collusion is in Donna B's new book. Crooked Hillary bought the DNC &amp; then stole the Democratic Primary from Crazy Bernie!,0.3956458299342214,0.37037037037037035,0.24691358024691357
7,927644826006425601,0.0,0.75,0.8982820729863301,"The state of Virginia economy, under Democrat rule, has been terrible. If you vote Ed Gillespie tomorrow, it will come roaring back!",0.377594337267269,0.37037037037037035,0.24691358024691357
11,922798321739161600,0.0,0.8499999999999999,0.6991564433572646,"Bob Corker, who helped President O give us the bad Iran Deal &amp; couldn't get elected dog catcher in Tennessee, is now fighting Tax Cuts....",0.3772403596071631,0.3571428571428571,0.35714285714285715
87,926054936718307328,0.0,0.55,0.3965908175081804,...There is also something appropriate about keeping him in the home of the horrible crime he committed. Should move fast. DEATH PENALTY!,0.3714403499265771,0.7692307692307693,0.5128205128205129
14,928769154345324544,0.0,0.625,0.8928259673503582,"I don’t blame China, I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on tr… https://t.co/zql9WFEZlF",0.3640821056695042,0.33333333333333337,0.33333333333333337
29,929509950811881472,0.5,0.625,0.21870410725616088,"Does the Fake News Media remember when Crooked Hillary Clinton, as Secretary of State, was begging Russia to be our… https://t.co/0QnLU03c03",0.3535803141723231,0.0,0.2777777777777778
75,925806343855984647,0.0,0.95,0.04785052476533649,We mourn the horrifying terrorist attack in NYC. All of America is praying and grieving for the families who lost t… https://t.co/gnCvusZ0Ud,0.3514936059794079,0.41666666666666663,0.6944444444444444
8,922828476872318976,0.0,0.6458333333333334,0.9891846925402326,"Sen. Corker is the incompetent head of the Foreign Relations Committee, &amp; look how poorly the U.S. has done. He doesn't have a clue as.....",0.350628004312261,0.15625,0.3125
44,930982399202217984,0.0,0.5,0.6928898647024492,Big vote tomorrow in the House. Tax cuts are getting close!,0.34838762702305776,0.38461538461538464,0.5128205128205129
73,925931294705545216,0.0,0.5166666666666666,0.4833537850814371,"NYC terrorist was happy as he asked to hang ISIS flag in his hospital room. He killed 8 people, badly injured 12. SHOULD GET DEATH PENALTY!",0.34259600121727657,0.5,0.5555555555555556
12,924400308834455552,0.0,0.6520833333333333,0.8857308506051361,While not at all presidential I must point out that the Sloppy Michael Moore Show on Broadway was a TOTAL BOMB and was forced to close. Sad!,0.342509260541469,0.17241379310344823,0.3448275862068966
69,926249604936556545,0.0,0.434375,0.5695511546540505,....This is real collusion and dishonesty. Major violation of Campaign Finance Laws and Money Laundering - where is our Justice Department?,0.3409321368867862,0.625,0.4166666666666667
24,921848853090983938,0.5,0.43333333333333335,0.4510031499570225,"Crooked Hillary Clinton spent hundreds of millions of dollars more on Presidential Election than I did. Facebook was on her side, not mine!",0.335423601915914,0.0,0.12820512820512822
42,930840960346611712,0.0,0.6466666666666667,0.5514479172371148,It is actually hard to believe how naive (or dumb) the Failing @nytimes is when it comes to foreign policy...weak and ineffective!,0.3334306199510418,0.18518518518518517,0.617283950617284
86,925006418989715456,0.0,0.5,0.4562139139864592,"....Also, there is NO COLLUSION!",0.332980096775521,0.625,0.4166666666666667
37,925474979914887168,0.0,0.7321428571428572,0.5264728123238295,"In NYC, looks like another attack by a very sick and deranged person. Law enforcement is following this closely. NOT IN THE U.S.A.!",0.33129705602222553,0.3125,0.4166666666666667
13,922072236592435200,0.0,0.6046875,0.9173891208429066,"It is finally sinking through. 46% OF PEOPLE BELIEVE MAJOR NATIONAL NEWS ORGS FABRICATE STORIES ABOUT ME. FAKE NEWS, even worse! Lost cred.",0.3303077892975726,0.0,0.45977011494252873
52,932570628451954688,0.5,0.5388888888888889,0.1025153475196916,Marshawn Lynch of the NFL’s Oakland Raiders stands for the Mexican Anthem and sits down to boos for our National An… https://t.co/5P18NSv8ZW,0.329122928290319,0.2,0.13333333333333333
15,930748627642998784,0.0,0.75,0.7635804581397072,"While in the Philippines I was forced to watch @CNN, which I have not done in months, and again realized how bad, and FAKE, it is. Loser!",0.32802098544752695,0.15151515151515155,0.3030303030303031
56,927852358209622016,0.0,0.505,0.6001377454129417,".@EdWGillespie will totally turn around the high crime and poor economic performance of VA. MS-13 and crime will be gone. Vote today, ASAP!",0.3230785131243792,0.5,0.33333333333333337
74,924641278947622913,0.5,0.45,0.04936505084896668,"...are now fighting back like never before. There is so much GUILT by Democrats/Clinton, and now the facts are pouring out. DO SOMETHING!",0.31470898995630925,0.16666666666666666,0.22222222222222227
36,922070659093671936,0.0,0.35,0.9415064972781032,"Wacky Congresswoman Wilson is the gift that keeps on giving for the Republican Party, a disaster for Dems. You watch her in action &amp; vote R!",0.31103652349271066,0.3448275862068966,0.22988505747126436
30,926404584456773632,0.5,0.3659090909090909,0.4720150096228133,"...New Donna B book says she paid for and stole the Dem Primary. What about the deleted E-mails, Uranium, Podesta, the Server, plus, plus...",0.30632068342198404,0.0,0.0
32,924096747122634752,0.5,0.5,0.3243317683062853,"“WHAT HAPPENED”

“How Team Hillary played the press for fools on Russia”
➡️https://t.co/GqpIidk017

NOW WE KNOW! https://t.co/SgWL1HZmkI",0.3040552947177142,0.0,0.0
10,925364408364171265,0.0,0.71875,0.8453713706693619,"....earth shattering. He and his brother could Drain The Swamp, which would be yet another campaign promise fulfilled. Fake News weak!",0.30342193784660304,0.0,0.25641025641025644
33,931223807037263873,0.0,0.5,0.8105805884300268,Need all on the UN Security Council to vote to renew the Joint Investigative Mechanism for Syria to ensure that Ass… https://t.co/1fnmbOdhQR,0.3029711608736035,0.21739130434782608,0.28985507246376807
114,924011278804357120,0.5,0.25,0.05789518519309586,.@FoxNews Chris Wallace: “More evidence of Dem collusion with Russia than GOP” https://t.co/nACQerJSiu,0.29968187727074475,0.29411764705882354,0.19607843137254904
131,923720632122200064,0.0,0.65,0.08504301943997056,"WORKING TOGETHER, we will defeat this #OpioidEpidemic &amp; free our nation from the terrible affliction of drug abuse.… https://t.co/Mw8xZxOEUn",0.2992748466743385,0.45454545454545464,0.6060606060606062
35,931357870024687616,0.0,0.8499999999999999,0.4554342046494673,"The Al Frankenstien picture is really bad, speaks a thousand words. Where do his hands go in pictures 2, 3, 4, 5 &amp; 6 while she sleeps? .....",0.2992717138468066,0.29411764705882354,0.19607843137254904
160,934131805409697792,0.0,0.5916666666666667,0.056429329987324035,"Will be calling the President of Egypt in a short while to discuss the tragic terrorist attack, with so much loss o… https://t.co/dG2jNyaok9",0.29690488833122064,0.6,0.5333333333333333
50,927851387857367040,0.0,0.49375,0.6506289152016824,"Ralph Northam will allow crime to be rampant in Virginia. He’s weak on crime, weak on our GREAT VETS, Anti-Second Amendment....",0.29361047763649434,0.37037037037037035,0.24691358024691357
40,931882044044529665,0.0,0.95,0.289956768916361,"RT @piersmorgan: BOOM! Thank you, Mr President. Trophy-hunting is repellent. https://t.co/iEPfEQNX4t",0.2934650170416157,0.3125,0.20833333333333334
68,925333956110757888,0.0,0.6375,0.3701244981554944,"The Fake News is working overtime. As Paul Manaforts lawyer said, there was ""no collusion"" and events mentioned took place long before he...",0.2869850354068681,0.3571428571428571,0.35714285714285715
23,926247543801044993,0.0,0.5166666666666666,0.8788240519760607,Donna Brazile just stated the DNC RIGGED the system to illegally steal the Primary from Bernie Sanders. Bought and paid for by Crooked H....,0.28600058985925797,0.19230769230769232,0.12820512820512822
27,929511061954297857,0.0,0.475,0.8816087645409126,"Why would Kim Jong-un insult me by calling me ""old,"" when I would NEVER call him ""short and fat?"" Oh well, I try so… https://t.co/PmsWNkH4r4",0.2850240196793777,0.15151515151515155,0.20202020202020204
46,924635359480303616,0.0,0.7,0.4651797605277617,"Never seen such Republican ANGER &amp; UNITY as I have concerning the lack of investigation on Clinton made Fake Dossier (now $12,000,000?),....",0.27752996008796027,0.16666666666666666,0.33333333333333337
111,924637600094326784,0.5,0.25,0.06647723372234167,"...the Uranium to Russia deal, the  33,000 plus deleted Emails, the Comey fix and so much more. Instead they look at phony Trump/Russia,....",0.2642157396705695,0.16129032258064516,0.10752688172043011
62,932420488642617344,0.0,0.65,0.4224962474415372,"Border Patrol Officer killed at Southern Border, another badly hurt. We will seek out and bring to justice those re… https://t.co/rgYCrqyrR9",0.25976789309210807,0.2083333333333333,0.2777777777777778
22,934029886842458112,0.0,0.5875,0.8173153354786427,Will be speaking to President Recep Tayyip Erdogan of Turkey this morning about bringing peace to the mess that I i… https://t.co/1PLdvtd5rj,0.2582904786184211,0.0,0.14492753623188406
61,926492915626663939,0.0,0.5,0.5796969500131115,The decision on Sergeant Bergdahl is a complete and total disgrace to our Country and to our Military.,0.25304890687353027,0.2631578947368421,0.17543859649122806
60,924284026394959872,0.0,0.5,0.5900926614034573,Today is National Prescription Drug Take Back Day. Everyone can help fight the #OpioidEpidemic by participating!… https://t.co/xOrimTGON5,0.251126554678354,0.25,0.16666666666666669
100,931477193255014400,0.5,0.33333333333333337,0.04370437461887326,"If Democrats were not such obstructionists and understood the power of lower taxes, we would be able to get many of their ideas into Bill!",0.2500824163459439,0.0,0.12345679012345678
16,926139726129704960,0.0,0.5,0.9920160257207654,"Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi",0.24866933762012758,0.0,0.0
17,928097146993369088,0.0,0.5,0.9867558969063929,"The U.S., under my administration, is completely rebuilding its military, and they're spending hundreds of billions… https://t.co/2sIwl0TH9x",0.2477926494843988,0.0,0.0
28,930815626460921856,0.0,0.55,0.7943233856739399,Do you think the three UCLA Basketball Players will say thank you President Trump? They were headed for 10 years in jail!,0.24720204576047147,0.0,0.13888888888888887
70,923147501418446849,0.0,0.64375,0.3597881536850301,"""Clinton campaign &amp; DNC paid for research that led to the anti-Trump Fake News Dossier. The victim here is the President."" @FoxNews",0.24204268373382984,0.19230769230769232,0.25641025641025644
18,933038654171344896,0.0,0.5,0.951040842882056,President Donald J. Trump and @FLOTUS Melania Participate in the Pardoning of the National Thanksgiving Turkey at t… https://t.co/QkuaKB68Dp,0.24184014048034266,0.0,0.0
19,923557515828310020,0.0,0.5,0.9304825098247936,Do not underestimate the UNITY within the Republican Party!,0.2384137516374656,0.0,0.0
45,933292289211772929,0.0,0.43720982142857145,0.736959034262688,"RT @IngrahamAngle: “Far right”? You mean “right so far,” as in @realDonaldTrump has been right so far abt how to kick the economy into high…",0.2377823513694187,0.15151515151515155,0.10101010101010102
21,931661592135168000,0.0,0.5,0.9178219259781096,"Today, it was an honor to celebrate the Collegiate National Champions of 2016/2017 at the @WhiteHouse!… https://t.co/EDZ5NjVfgq",0.23630365432968495,0.0,0.0
34,925335577217683456,0.0,0.5166666666666667,0.7894067886532671,"....came to the campaign. Few people knew the young, low level volunteer named George, who has already proven to be a liar. Check the DEMS!",0.23560005617339397,0.0,0.10752688172043011
49,921726400922619904,0.0,0.53,0.6161545761935501,Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!,0.23376080543396774,0.0,0.25641025641025644
64,925833462426292226,0.0,0.4916666666666666,0.5456421058621064,"Thank you to the GREAT NYPD, First Responders and all govt officials for having handled the terrible West Side atta… https://t.co/wcjWahjCHF",0.2332712688514139,0.21739130434782608,0.14492753623188406
105,923551572218572802,0.0,0.4083333333333333,0.4361487508071955,"Ed Gillespie will turn the really bad Virginia economy #'s around, and fast. Strong on crime, he might even save our great statues/heritage!",0.23035274879044657,0.3225806451612903,0.21505376344086022
25,923272793457913857,0.0,0.5,0.8762088673615145,Melania and I look forward to being with President Xi &amp; Madame Peng Liyuan in China in two weeks for what will hope… https://t.co/TYNkL929s6,0.22936814456025242,0.0,0.0
58,932433668068528131,0.0,0.6072916666666667,0.4858123413188221,Republican Senators are working very hard to get Tax Cuts and Tax Reform approved. Hopefully it will not be long an… https://t.co/m0GyFBDPkQ,0.22848029762721112,0.0,0.2777777777777778
26,931360196554821632,0.0,0.375,0.9904004404142004,.And to think that just last week he was lecturing anyone who would listen about sexual harassment and respect for women. Lesley Stahl tape?,0.2275667400690334,0.0,0.0
53,924251519121346560,0.0,0.6,0.5368652473118242,Just read the nice remarks by President Jimmy Carter about me and how badly I am treated by the press (Fake News). Thank you Mr. President!,0.2253198351254474,0.0,0.21505376344086022
31,934031535757582336,0.0,0.33333333333333337,1.0,"After Turkey call I will be heading over to Trump National Golf Club, Jupiter, to play golf (quickly) with Tiger Wo… https://t.co/QIHCtDSqgV",0.22222222222222224,0.0,0.0
144,922833943749103621,0.0,0.23250000000000004,0.4496456072656691,Stock Market just hit another record high! Jobs looking very good.,0.22052854138188502,0.38461538461538464,0.25641025641025644
120,926421589159182339,0.0,0.525,0.2563167051003104,"...Based on that, the Military has hit ISIS ""much harder"" over the last two days. They will pay a big price for every attack on us!",0.21702500640560732,0.3125,0.20833333333333334
133,923552633633337344,0.0,0.421875,0.3047536725769182,"Ed Gillespie will be a great Governor of Virginia. His opponent doesn't even show up to meetings/work, and will be VERY weak on crime!",0.21689021937584652,0.3448275862068966,0.22988505747126436
47,932303108146892801,0.0,0.55,0.6151632304858848,"Now that the three basketball players are out of China and saved from years in jail, LaVar Ball, the father of LiAn… https://t.co/371qJ1biwh",0.21556139311516884,0.0,0.12820512820512822
81,933517194142584833,0.0,0.25,0.7409485759513573,....And it will get even better with Tax Cuts! https://t.co/75wozGJQoP,0.21145439228818919,0.0,0.2777777777777778
51,921888248707846144,0.0,0.3083333333333333,0.833333873132772,"I agree getting Tax Cuts approved  is important (we will also get HealthCare), but perhaps no Administration has done more in its first.....",0.21085399943159366,0.0,0.12345679012345678
203,934026050388013056,0.0,0.5,0.05132551615158687,"Can you believe that the disrespect for our Country, our Flag, our Anthem continues without penalty to the players.… https://t.co/4hdK4d7KC7",0.2076283267660052,0.41666666666666663,0.2777777777777778
112,922817539251556353,0.0,0.425,0.38791750736077096,"Isn't it sad that lightweight Senator Bob Corker, who couldn't get re-elected in the Great State of Tennessee, will now fight Tax Cuts plus!",0.20750271213214497,0.18518518518518517,0.24691358024691357
171,925739132579729420,0.0,0.48125,0.13728038499442888,Wouldn't it be great to Repeal the very unfair and unpopular Individual Mandate in ObamaCare and use those savings for further Tax Cuts.....,0.20725506416573813,0.2083333333333333,0.4166666666666667
41,928064591665467393,0.0,0.434375,0.7865081478395354,"Getting ready to make a major speech to the National Assembly here in South Korea, then will be headed to China whe… https://t.co/mEfWXmpzRw",0.20348052463992258,0.0,0.0
185,925497025386500096,0.0,0.4318181818181818,0.1542828572654296,"My thoughts, condolences and prayers to the victims and families of the New York City terrorist attack. God and your country are with you!",0.2005641649501492,0.37037037037037035,0.24691358024691357
93,933291745722351617,0.0,0.5,0.4124008945473681,"RT @Realjmannarino: @realDonaldTrump The ungratefulness is something I’ve never seen before. If you get someone’s son out of prison, he sho…",0.19995953606440808,0.17241379310344823,0.11494252873563217
165,928279728125108225,0.0,0.625,0.015279715859923541,NoKo has interpreted America's past restraint as weakness. This would be a fatal miscalculation. Do not underestima… https://t.co/3ZqTpo7GrT,0.19930587856924653,0.23809523809523808,0.31746031746031744
43,923566287263068161,0.0,0.5,0.6951978136438666,Big news - Budget just passed!,0.1991996356073111,0.0,0.0
67,923869147091451904,0.0,0.5,0.5100551987642621,"Congratulations to @SpeakerRyan, @GOPLeader, @SteveScalise and to the Republican Party on Budget passage yesterday. Now for biggest Tax Cuts",0.1935950583799023,0.0,0.15151515151515152
129,933917690552573952,0.0,0.5,0.2389420743663414,RT @DeptofDefense: #HappyThanksgiving from @USArmy and @USNationalGuard #soldiers serving with Task Force Marauder in #Afghanistan. 🦃 https…,0.19260145683883467,0.25,0.16666666666666669
90,922799981874089985,0.0,0.575,0.3559497503610765,"...Corker dropped out of the race in Tennesse when I refused to endorse him, and now is only negative on anything Trump. Look at his record!",0.19219532876388312,0.0,0.22222222222222227
48,926580912036466690,0.0,0.3625,0.7876747973257893,Getting ready to land in Hawaii. Looking so much forward to meeting with our great Military/Veterans at Pearl Harbor!,0.1916957995542982,0.0,0.0
128,925818295462322184,0.0,0.5,0.2451603665320017,Just spoke with @NYGovCuomo and @NYCMayor de Blasio to let them know that the federal government...,0.18955287154618328,0.0,0.392156862745098
54,930750650010480640,0.0,0.6458333333333334,0.4819112564232922,"Thank you, working hard! https://t.co/TmNdNPBJ3m",0.18795743162610426,0.0,0.0
55,925716689064427520,0.0,0.5,0.607095801143531,#NYCStrong #USA🇺🇸 https://t.co/6K3Xw5P87d,0.18451596685725516,0.0,0.0
57,930490487903084544,0.0,0.5,0.6012397334985179,THANK YOU ASIA! #USA🇺🇸 https://t.co/FziKSbrzcu,0.18353995558308633,0.0,0.0
59,924382919845666816,0.0,0.5,0.5919557166815423,...in order to put any and all conspiracy theories to rest.,0.18199261944692371,0.0,0.0
92,927847471321141249,0.0,0.5947916666666667,0.3198784189713416,"....is making. Working very hard on TAX CUTS for the middle class, companies and jobs!",0.18168478035487276,0.0,0.17543859649122806
132,923165619868131329,0.0,0.4,0.33207229948784445,"Jeff Flake, with an 18% approval rating in Arizona, said ""a lot of my colleagues have spoken out."" Really, they just gave me a standing O!",0.17920159239830089,0.14705882352941177,0.19607843137254904
152,926419647708258304,0.0,0.4833333333333333,0.18276348153699776,"ISIS just claimed the Degenerate Animal who killed, and so badly wounded, the wonderful people on the West Side, was ""their soldier."" .....",0.17806594424084063,0.17241379310344823,0.22988505747126436
63,928083235040579584,0.0,0.4318181818181818,0.6325051760413865,"Join me LIVE in South Korea🇺🇸🇰🇷
#NationalAssembly #POTUSinAsia 
➡️https://t.co/M3iEhPdkas https://t.co/hSxdtd2UnY",0.17738722630992806,0.0,0.0
231,923905540291522560,0.0,0.45,0.009576293766827105,"It is now commonly agreed, after many months of COSTLY looking, that there was NO collusion between Russia and Trump. Was collusion with HC!",0.17580239816748702,0.3571428571428571,0.23809523809523808
123,931469365538672640,0.0,0.2,0.5639919657450375,"Great numbers on Stocks and the Economy. If we get Tax Cuts and Reform, we'll really see some great results!",0.17564117303480095,0.0,0.28985507246376807
88,924625061100867584,0.0,0.3083333333333333,0.6304782525111987,"As usual, the ObamaCare premiums will be up (the Dems own it), but we will Repeal &amp; Replace and have great Healthcare soon after Tax Cuts!",0.17438974459416035,0.0,0.10752688172043011
94,933282274937733126,0.0,0.525,0.38229997704258784,"...LaVar, you could have spent the next 5 to 10 years during Thanksgiving with your son in China, but no NBA contra… https://t.co/R7yb95fkUw",0.17179279452767413,0.0,0.12345679012345678
