,coordinates,favorite_count,geo,lang,place,source,trump_tweet_id,user_created_at,user_description,user_favourites_count,user_followers_count,user_friends_count,user_lang,user_location,user_name,user_statuses_count
0,,0,,en,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",927847349648609280,Sun Nov 05 02:07:19 +0000 2017,,37,2,2,en,,john,38
1,,0,,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",927847349648609280,Wed Jul 29 13:56:37 +0000 2009,,13487,416,847,en,,Linda Cox,14655
2,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Thu Oct 27 22:13:32 +0000 2016,,1546,7,90,en,Texas,My Info  Tom,922
3,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Fri Nov 10 23:05:34 +0000 2017,45Th President of the United States of America 🇺🇸,9,6,284,en,Washington DC,Donald j Trump,81
4,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Wed Nov 09 10:27:16 +0000 2011,,123,136,0,en,,Bishop Dillwala,33553
5,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",927847349648609280,Sat Oct 07 23:24:55 +0000 2017,,1537,41,615,es,,kristhian,255
6,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",927847349648609280,Fri Aug 23 18:10:52 +0000 2013,,34,3,2,en,,Kathryn Henderson,17
7,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Thu Oct 24 17:17:13 +0000 2013,"I'm a mother, grandmother and caregiver for elderly parents. Degreed professional, small business owner, animal lover. Christian, pro-life. #AmericaFirst",98621,2623,3203,en,The Great State of Texas,Beverly Twigg,84545
8,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sun Sep 09 20:09:27 +0000 2012,I stand for realness. #Christ,2509,165,117,en,Mars ,Fame ✌,5558
9,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Fri Dec 23 14:54:26 +0000 2016,Auxilium meum a domino,6656,124,95,pt,"Manaus, Brazil",Thiago Ribeiro,6902
10,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Fri Nov 11 10:52:46 +0000 2016,"I L💗VE. to L💞VE,God,Family,Friends,Country,Animals,nature,write,learn,read,sports, country music,fun,tweeter,dreamer,faith,trust,loyal",2007,862,3481,en,"Massachusetts, USA",Celena Mariano,19189
11,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sat Mar 07 18:39:18 +0000 2015,"United States Army
•RIP all our fallen soldiers• American Future Soldier 💪Honor @VP @POTUS @realDonaldTrump",24864,1299,3360,en,"California, USA",Christopher Hwang,3630
12,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Fri Nov 03 23:12:10 +0000 2017,,152,8,53,en,"St Augustine Beach, FL",Myra Vaughn,33
13,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Fri Jun 17 20:51:23 +0000 2016,,479,18,21,en,,Mat Brennon,3354
14,,0,,en,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",927847349648609280,Thu Aug 23 19:57:31 +0000 2012,"DSM LG Seeds SW KS, SE CO, OK,TX,NM                                                                                      Opinions are mine and not LG Seeds",278,22,78,en,,MKonda,293
15,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Fri Aug 18 15:51:03 +0000 2017,,2007,16,29,en,,Deepali Sharma,1961
16,,0,,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",927847349648609280,Mon Mar 06 20:01:05 +0000 2017,I am the host and founder of the https://t.co/s63Sg9fYVY free podcast service. #MAGA https://t.co/gDv24zux6s,3744,1111,2263,en,Delta Colorado,Dustin Houghton,4592
17,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Mon Nov 14 05:25:45 +0000 2016,#MAGA,58895,1735,1593,en,"West Palm Beach, FL",Jane L Irelan,24680
18,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sun Aug 06 18:44:12 +0000 2017,Rudolf,55,0,7,ru,"Tallinn, Eesti",Радик,18
19,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Wed Aug 24 16:03:28 +0000 2016,"Mother of two beautiful young women, grandmother to three beautiful girls, devoted TRUMP SUPPORTER",137740,2880,3711,en, NY,MARI E,132272
20,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Sat Jul 15 02:34:00 +0000 2017,"Don’t like Trump? Ok,go away,Ugly! #MAGA #ObamaSucks #HillaryForPrison #Anonymous #GodForTrump #2A #1A #TruePatriotArmy #Only2Genders #FurriesAreCancer",2242,2591,3940,en,"AMERICA,F**KYEAH",A True Patriot,18072
21,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Sun Sep 14 16:29:17 +0000 2014,I'm right about some things; wrong about others--still learning. The one thing I KNOW is I have eternal life through our Lord and Savior Jesus Christ❤,47681,2491,4122,en,,Sean Shannon Collier,37356
22,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Tue Nov 22 19:47:14 +0000 2016,Make America great again love my president,38772,1173,861,en,,Rosemary Sherbondy,51834
