,coordinates,favorite_count,geo,lang,place,source,trump_tweet_id,user_created_at,user_description,user_favourites_count,user_followers_count,user_friends_count,user_lang,user_location,user_name,user_statuses_count
0,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Fri Aug 28 13:05:15 +0000 2015,Carol City Junior High Senior -employed George T Baker pilot jack of all trades mechanic Aviation I'm proud to be a volunteer for Donald Trump  I'm Slave Of God,139854,3703,5002,en,"Hialeah, FL",Orlando Milian Andre,338616
1,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Wed Aug 17 12:19:42 +0000 2011,"🇬🇭🇺🇸 
Understand yourself first 👌
Believe in yourself 😂",58,7,38,en,Bronx ,Samuel Ampah,14
2,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Sun Mar 27 20:03:54 +0000 2016,,103,26,91,en,,Neil Gracer,103
3,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Tue Jun 07 13:12:25 +0000 2011,,877,8,8,en,,Cecilia Parodi,726
4,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Mon Aug 01 20:06:13 +0000 2016,,1687,31,131,en,,CG,1820
5,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Tue Jan 13 15:10:32 +0000 2015,hoping beautiful NK does not become glass. communism works!  #rev18,4191,263,455,en,Pyongyang,North Korea Antifa,3419
6,,0,,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",928325667556548608,Mon Jun 26 10:17:31 +0000 2017,,4531,32,91,en,Fl.,Sal Dorazio,3984
7,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Wed Jul 15 22:13:20 +0000 2009,"Christian, wife, mother, grandmother, TRUMP supporter WOMEN for TRUMP",33809,1147,233,en,United States,🇺🇸Travlyn Girl🇺🇸,66187
8,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",928325667556548608,Wed Dec 10 23:19:48 +0000 2008,"Retired newspaperman. Wrote ""Trump the Press"": https://t.co/liBCnMzm1b and the sequel ""Trump the Establishment"":  https://t.co/3sYCCX5IzV",64313,5942,146,en,Poca WV,Don Surber,64621
9,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Sat Apr 12 08:39:41 +0000 2014,40year old male in businesswith a wife and 2 children,91,759,2074,en,colombo,Moiz Esufally,34216
10,,0,,en,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",928325667556548608,Tue Apr 01 19:28:45 +0000 2014,Country/Constitution over parties/pols. Pro: Jesus/Family/USA/Military/Police/Fire/EMS/fellow CITIZENS of ALL stripes/Israel Anti: Libs/Rinos/Jihadis/Illegals,40293,906,392,en,,DH,30248
11,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Tue Jul 01 05:19:53 +0000 2014,Bernie Boomer.---- B.A. in Psychology --- Three adult daughters--- watch George Webb on YouTube,34877,1879,4797,en,"Anderson, CA",Donna Maertz,55955
12,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Wed Nov 14 23:02:05 +0000 2012,,2296,26,87,en,,JustRob,2091
13,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Sun Apr 14 04:36:19 +0000 2013,"""Great spirits have always encountered violent opposition from mediocre minds."" Albert Einstein ~*~ Christian, Conservative. I support PRESIDENT Trump! #MAGA",232323,12837,12098,en,,Mary Margaret Jones,342533
14,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Mon Jun 13 15:32:16 +0000 2016,I come from a family of legal immigrants that have made it big in the USA thanks to conservative ideals!!! I fully support President Trump!💗,8361,1799,2891,en,"Texas, USA",GiGi-TrumpLatina,5417
15,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Fri Jan 31 19:40:41 +0000 2014,,6230,47,490,en,,Forrest,3597
16,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Thu Apr 13 11:59:43 +0000 2017,Love to sort and RT. Following 47 and counting twitter accounts daily. Thanks twitter for helping consolidate and sort the news I want when I want it. #MAGA,7419,121,520,en,"Florida, USA",News Consolidater,7361
17,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Thu Sep 10 13:06:43 +0000 2015,"TRUMP2020,Nurse, Republican,Pro Life, MAGA ,  Establishment & MSM ARE THE ENEMY . Back The Blue. I Stand With Israel, Military, 🚫porn,lists👎",29804,1595,999,en,Virginia Woman in Texas,Covfefe Sherry󾓦,33490
18,,0,,en,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",928325667556548608,Sun Nov 05 02:07:19 +0000 2017,,37,2,2,en,,john,38
19,,0,,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",928325667556548608,Mon Aug 31 07:37:37 +0000 2009,👏❤MAGA TRUMP👏❤ #BOYCOTTNFL #STANDFOROURANTHEM,20286,3679,4994,en,Dallas Texas,Me Myself and I,7657
20,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Wed May 13 07:07:14 +0000 2015,,102,15,11,en,,Benjamin Chow,60
21,,0,,en,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",928325667556548608,Mon Sep 07 22:59:29 +0000 2009,"Awan Scandal, DNC voter Fraud case dismissed. The swamp winning. No one should have power for 10, 20, 30 years. Vote them out #Demexit",294,1358,1000,en,,Flash 🌎🌎🌎 🇺🇸,3094
22,,0,,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",928325667556548608,Thu Sep 04 23:48:46 +0000 2014,Don't be distracted. Adventure. Kindness. Raise a glass. Good eats. Grow your own. Redeemed.,483,65,266,en,,Chloe Clovers,615
23,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",928325667556548608,Sun Oct 09 20:09:25 +0000 2016,"""I'd Follow Me... I'd Follow Me so Hard..."" ~ Buffalo Bill from Silence of the Lambs ♿  
Trump ist der Präsident. Du bist eine Schneeflocke, die schmelzt.",58498,3888,4464,en,"Ihate, NY",♿Buff Bill  🐸🐼,62839
24,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Wed Oct 31 18:30:58 +0000 2012,"Conservative Constitutionalist, Patriot ~ Si vis pacem, para bellum! ~ A storm is coming...",10416,3787,4219,en,,Ned Wales 🇺🇸,21485
25,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Thu Sep 13 15:16:56 +0000 2012,,23689,2946,4877,en,USA,PTR,25846
26,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Fri May 10 18:39:33 +0000 2013,Christian Conservative Pro Constitution. Pro Israel Pro Gun. Love Fishing & Alabama Football.    Roll Tide Fan.,174626,9301,8069,en,,greg scheinert,291958
27,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Fri Jun 06 17:40:27 +0000 2014,Bring serial killer ALEX GORSKY CEO J&J to justice for MURDER W DEADLY PRODUCTS. MESH advocate & VICTIM. TRUMP. TAKE BACK OUR COUNTRY. CONVENTION OF STATES!!!,49276,4638,5013,en,,susan jones smith.,192397
